Our Ref.,Target,대리인,출원번호,출원일,출원국,발명의 명칭,출원인,발명자,현재 Status,Status 설명,"To-do 
마감일","관계
(분할/계속)",관련특허,공개일,공개번호,등록번호,등록일,실시권 계약,기타,권리관계 변경,"지분약정
(지분율변경)
기존 출원인","(예상)
만료일"
A24W004US,USP1,"교연
Michael Best ","19/585,479",2026-05-07,US,헤테로아릴 유도체 화합물 및 이의 용도,보로노이 주식회사,"황선아, 이윤호, 조서현, 마다훈, 오세린, 이수영, 최진우, 김대권",출원,,,,"[A24W004]
PCT/KR2024/017446
2024-11-06",,,,,,,,,
A24W004EP,USP1,"교연
Reddie & Grose",24889126.9,2026-05-13,EP,헤테로아릴 유도체 화합물 및 이의 용도,보로노이 주식회사,"황선아, 이윤호, 조서현, 마다훈, 오세린, 이수영, 최진우, 김대권",출원,"31개월 진입예정
출원 시 자진보정",,,"[A24W004]
PCT/KR2024/017446
2024-11-06",,,,,,,,,
,ABL,교연,10-2022-0001748,2022-01-05,KR,헤테로아릴-에티닐 유도체 화합물 및 이의 용도,보로노이 주식회사,,취하간주,,"심사청구
2025-01-05",우선권주장,"[A200017]
10-2021-0001050 (2021-01-05)",2022-07-13,10-2022-0099503,,,,,,"90:10
[BS:VN]",
A22W001,ABL,교연,PCT/KR2022/000172,2022-01-05,PCT,헤테로아릴-에티닐 유도체 화합물 및 이의 용도,주식회사 비투에스바이오ㆍ보로노이 주식회사,"박진희, 이영덕, 임혜림, 김균은, 황동근, 김성환, 고은화, 최환근","출원 
(File closing)","ISR 발행
2022-04-12
개별국 진입 X
2023-05-02
GDF2023050200102",국내단계진입 2023-07-05,PCT,"[A200017]
10-2021-0001050 (2021-01-05)",2022-07-14,WO 2022/149855 A1,,,,,,"90:10
[BS:VN]",
A220001,RIPK1,다나,10-2022-0014856,2022-02-04,KR,"아릴 또는 헤테로아릴 유도체, 및 이를 유효성분으로 포함하는 키나아제 관련 질환 치료용 약학적 조성물",보로노이바이오 주식회사ㆍ보로노이 주식회사,"조서현, 마다훈, 박예슬, 심규석, 손정범, 김남두, 김성환, 최환근",취하간주,,,우선권기초2,"[A210007]
10-2021-0141877
(2021-10-22)
[A22P007]
10-2022-0136509
(2022-10-21)",,,,,,"직무발명보상제외 
재영님 확인(2022-02-03)
:우선권주장출원을 위한 기초를 출원함에 따라 지급대상에서 제외",Anvia로 소유권양도 (2025.09.18.),"90:10
[VB:VN]",
A22W004US,C797S_D,"K&C
;
Panitch
2023-03-31
Nixon & Vanderhye","17/927,324",2022-11-22,US,"HETEROARYL DERIVATIVE COMPOUNDS, AND USES THEREOF",보로노이 주식회사,"이윤호, 황선아, 심인섭, 전현호, 도우미, 류희선, 손정범, 김남두, 김성환, 정홍열, 이영이",등록,"자진보정제출
IDS 제출
출원인 변경완료
PPH 신청
2024-01-12
PPH 신청승인
2024-02-20
NOA 발행
2024-03-04
Corrected Notice of Allowability 제출
2024-04-04
미국 임상 허가 후, PTE 신청하기
등록료 납부
2024-06-02
PTA 신청 제출
2024-08-16
(42일 연장)","연차료(2nd)
2028-01-16
미국 임상 허가 후, PTE 신청하기",,"[A22W004]
PCT/KR2022/006994
(2022-05-16)",2024-01-25,US 2024-0025888 A1,"US 12,037,330",2024-07-16,"내부기술이전계약
2022.07.15","RIPC_출원
미국 임상 허가 후, PTE 신청하기",,,2042-06-27
A22W004USC1,C797S_D,"K&C
;
Nixon & Vanderhye","18/414,371",2024-01-16,US,"HETEROARYL DERIVATIVE COMPOUNDS, AND USES THEREOF",보로노이 주식회사,"이윤호, 황선아, 심인섭, 전현호, 도우미, 류희선, 손정범, 김남두, 김성환, 정홍열, 이영이",등록,"OA 발행
2025-05-09
OA 제출
2025-08-08
NOA 발행
2025-09-23
등록료 납부
2025-12-12","연차료(2nd)
2029-07-20",계속,"[A22W004]
PCT/KR2022/006994
(2022-05-16)",2024-05-23,US 2024/0166640,"US 12,528,799",2026-01-20,,원출원에서 삭제된 치료방법 청구항 7-12 발명,,,
